Component ID,Name,Category,Status,Description,Purpose,Inputs,Outputs,Templates,Slots,Rules
gated_linear,Gated Linear,blocks,approved,Fused gated linear layer,"blocks (parameterized, gating)","x:tensor[B,S,D]","y:tensor[B,S,D]",,,"forbidden_before: mean_last,max_last,sum_last,norm_last; forbidden_after: ternary_projection,mul; mode:GENERAL"
moe_2expert,2-Expert MoE,channel_mixing,approved,Lightweight 2-expert MoE with learned gating,"channel_mixing (moe, channel_mixing, sparse_compute)","x:tensor[B,S,D]","y:tensor[B,S,D]",,,"forbidden_before: rmsnorm,mean_last,sum_last,norm_last,layernorm,max_last; forbidden_after: output_head; requires_residual; mode:GENERAL"
moe_topk,Moe Topk,channel_mixing,approved,Mixture of Experts with top-k routing,"channel_mixing (moe, sparse_compute, channel_mixing)","x:tensor[B,S,D]","y:tensor[B,S,D]",,,"forbidden_before: rmsnorm,mean_last,sum_last,norm_last,layernorm,max_last; forbidden_after: output_head; requires_residual; mode:GENERAL"
rwkv_channel,Rwkv Channel,channel_mixing,approved,RWKV-style channel mixing (shift + multiply),"channel_mixing (linear_complexity, recurrent, channel_mixing)","x:tensor[B,S,D]","y:tensor[B,S,D]",,,
swiglu_mlp,Swiglu Mlp,channel_mixing,approved,SwiGLU MLP channel mixer (Gated Linear Unit with SiLU).,"channel_mixing (standard, channel_mixing)","x:tensor[B,S,D]","y:tensor[B,S,D]",,,"forbidden_before: semi_structured_2_4_linear,mean_last,sum_last,norm_last,max_last,nm_sparse_linear,block_sparse_linear; forbidden_after: linear_proj_down,nm_sparse_linear; mode:GENERAL"
loop,Loop Over Items,control_flow,approved,Iterates over a dataset or list and executes a subgraph.,"control_flow (control, loop)",items:list,item:record; results:list,,,
binary_file_reader,Binary File Reader,data_io,approved,Reads raw binary data and reshapes it into a tensor.,"data_io (data, io, source)",,data:tensor[*],,,
file_loader,File Loader,data_io,approved,"Loads data from CSV, JSON, NPY, PT, or TXT into a tensor-like output.","data_io (data, io, source)",,data:tensor[*],,,
file_writer,File Writer,data_io,approved,"Writes tensor data to disk in CSV, JSON, NPY, PT, or TXT format.","data_io (data, io, sink)",data:tensor[*],status:scalar,,,
hf_dataset_loader,Hugging Face Dataset,data_io,approved,Loads a dataset from Hugging Face Hub (streaming supported).,"data_io (io, dataset, hf)",,dataset:dataset,,,
random_data_source,Random Data Source,data_io,approved,Generates random tensor data for prototyping and testing.,"data_io (data, io, source)",,"data:tensor[B,S,D]",,,
synthetic_data_source,Synthetic Data Source,data_io,approved,"Generates structured synthetic tensor patterns (sine, sawtooth, impulse, checkerboard).","data_io (data, io, source)",,"data:tensor[B,S,D]",,,
dataset_filter,Filter Dataset,data_transform,approved,"Filters a dataset using a Python condition (e.g. ""len(x[\""text\""]) > 10"").","data_transform (data, filter)",dataset:dataset,filtered:dataset,,,
dataset_map,Map Dataset,data_transform,approved,Transforms a dataset using a Python function.,"data_transform (data, map)",dataset:dataset,mapped:dataset,,,
filter,Filter Tensor,data_transform,approved,"Filters tensors by rows, tokens, or features using a comparison rule.","data_transform (data, transform, filter)",data:tensor[*],filtered:tensor[*],,,
select_columns,Select Columns,data_transform,approved,Selects a subset of feature columns from row-like tensor data using schema-aware names or indices.,"data_transform (data, transform, projection)",data:tensor[*],selected:tensor[*],,,
split_train_val_test,Split Train/Val/Test,data_transform,approved,"Deterministically splits tabular/tensor rows into train, validation, and test subsets with optional stratification.","data_transform (data, transform, split, training)",data:tensor[*],train:tensor[*]; val:tensor[*]; test:tensor[*],,,
basis_expansion,Basis-expansion layer: project through sinusoidal bases,functional,approved,Basis-expansion layer: project through sinusoidal bases,"functional (functional, learnable)","x:tensor[B,S,D]","y:tensor[B,S,D]",,,
fixed_point_iter,Implicit fixed-point iteration: x = f(x) with learned f,functional,approved,Implicit fixed-point iteration: x = f(x) with learned f,"functional (functional, learnable, numerically_risky)","x:tensor[B,S,D]","y:tensor[B,S,D]",,,"forbidden_before: mean_last,max_last,sum_last,norm_last; forbidden_after: split2,split3; mode:GENERAL"
integral_kernel,Integral kernel mixing: learned kernel over sequence positions,functional,approved,Integral kernel mixing: learned kernel over sequence positions,"functional (functional, learnable)","x:tensor[B,S,D]","y:tensor[B,S,D]",,,"forbidden_before: mean_last,max_last,sum_last,norm_last; forbidden_after: split2,split3; mode:GENERAL"
route_lanes,Route Lanes,functional,approved,Multi-lane dispatch.,"functional (core, routing)","scores:tensor[B,S,L]","lane_indices:index[B,S]",,,
route_recursion,Route Recursion,functional,approved,Adaptive recursion depth.,"functional (core, recursion)","scores:tensor[B,S,Dp]","depth:index[B,S]",,,
route_topk,Route Top-k,functional,approved,Top-k token selection.,"functional (core, routing)","scores:tensor[B,S,K]","indices:index[B,S,k]; weights:tensor[B,S,k]",,,
token_merge,Token Merge,functional,approved,Similarity-based token merging.,"functional (core, structural)","x:tensor[B,S,D]","y:tensor[B,n_keep,D]; restore_map:index[B,S]",,,"forbidden_before: mean_last,sum_last,norm_last,max_last,split2,split3; forbidden_after: state_space,selective_scan,softmax_attention,diff_attention,rwkv_time_mixing,conv1d_seq,linear_attention,integral_kernel,transpose_sd,graph_attention,output_head,rwkv_channel,identity; requires_residual; mode:GENERAL"
csv_reader,CSV Reader,io,approved,Reads a CSV file into a tensor or dataset.,"io (io, data)",,"data:tensor[B,D]",,,
