component,classifications,exact_evidence,code_path,reproduction_command,code_fix_needed,rules_fix_needed,rerun_needed,screening_interpretation_change
graph_attention,B. stale evidence from fixed bug; M. valid but weak,"obs=96 compile_rate=99.0% s1_rate=0.0% recent_obs=96 recent_s1=0 bf16_errors=66 init_poisoned=0 top_errors={'RuntimeError': 66, 'unstable_dynamics': 11, 'causality_violation': 9, 's1_fail': 5}",research/synthesis/compiler.py::_cast_params_to,python -m research.tools.audit_low_s1_components --focus graph_attention,False,False,True,False
local_window_attn,B. stale evidence from fixed bug,"obs=75 compile_rate=0.0% s1_rate=0.0% recent_obs=75 recent_s1=0 bf16_errors=0 init_poisoned=0 top_errors={'OutOfResources': 46, 'nan_forward': 22, 'forward_error': 6, 'cuda_fatal': 1}",research/synthesis/compiler_ops_attention.py::_op_local_window_attn,python -m research.tools.audit_low_s1_components --focus local_window_attn,True,False,True,False
state_space,C. vocab/gate mismatch artifact; H. numerical instability; M. valid but weak,"obs=68 compile_rate=97.1% s1_rate=0.0% recent_obs=68 recent_s1=0 bf16_errors=2 init_poisoned=5 top_errors={'unstable_dynamics': 42, 'causality_violation': 13, 's1_fail': 8, 'RuntimeError': 2}",research/synthesis/compiler.py / compiler_ops_math.py / compiler_ops_attention.py,python -m research.tools.audit_low_s1_components --focus state_space,False,False,True,True
sliding_window_mask,B. stale evidence from fixed bug; K. structural/non-learnable op; L. niche op needing restricted placement,"obs=66 compile_rate=100.0% s1_rate=0.0% recent_obs=66 recent_s1=0 bf16_errors=54 init_poisoned=0 top_errors={'RuntimeError': 54, 'unstable_dynamics': 9, 'rapid_screening_error': 2, 'causality_violation': 1}",research/synthesis/compiler.py::_cast_params_to,python -m research.tools.audit_low_s1_components --focus sliding_window_mask,False,True,True,True
causal_mask,B. stale evidence from fixed bug; K. structural/non-learnable op; L. niche op needing restricted placement,"obs=63 compile_rate=95.2% s1_rate=0.0% recent_obs=63 recent_s1=0 bf16_errors=41 init_poisoned=0 top_errors={'RuntimeError': 41, 'unstable_dynamics': 12, 'causality_violation': 5, 'cuda_fatal': 2}",research/synthesis/compiler.py::_cast_params_to,python -m research.tools.audit_low_s1_components --focus causal_mask,False,True,True,True
tropical_center,C. vocab/gate mismatch artifact; D. graph-context misuse; H. numerical instability; L. niche op needing restricted placement,"obs=62 compile_rate=96.8% s1_rate=0.0% recent_obs=62 recent_s1=0 bf16_errors=4 init_poisoned=6 top_errors={'unstable_dynamics': 21, 's1_fail': 18, 'causality_violation': 16, 'RuntimeError': 4}",research/synthesis/compiler_ops_mathspaces.py,python -m research.tools.audit_low_s1_components --focus tropical_center,False,True,True,True
early_exit,D. graph-context misuse; L. niche op needing restricted placement,"obs=60 compile_rate=68.3% s1_rate=0.0% recent_obs=60 recent_s1=0 bf16_errors=0 init_poisoned=0 top_errors={'s1_fail': 21, 'rapid_screening_error': 20, 'forward_error': 19}",research/synthesis/compiler.py / compiler_ops_math.py / compiler_ops_attention.py,python -m research.tools.audit_low_s1_components --focus early_exit,False,True,False,False
gated_delta,M. valid but weak,"obs=55 compile_rate=87.3% s1_rate=0.0% recent_obs=55 recent_s1=0 bf16_errors=22 init_poisoned=0 top_errors={'RuntimeError': 22, 'unstable_dynamics': 12, 'forward_error': 7, 's1_fail': 6}",research/synthesis/compiler.py / compiler_ops_math.py / compiler_ops_attention.py,python -m research.tools.audit_low_s1_components --focus gated_delta,False,False,False,False
diff_attention,M. valid but weak,"obs=54 compile_rate=96.3% s1_rate=0.0% recent_obs=54 recent_s1=0 bf16_errors=27 init_poisoned=0 top_errors={'RuntimeError': 27, 'unstable_dynamics': 12, 'causality_violation': 8, 's1_fail': 5}",research/synthesis/compiler.py / compiler_ops_math.py / compiler_ops_attention.py,python -m research.tools.audit_low_s1_components --focus diff_attention,False,False,False,False
fused_linear_gelu,M. valid but weak,"obs=54 compile_rate=66.7% s1_rate=0.0% recent_obs=54 recent_s1=0 bf16_errors=29 init_poisoned=0 top_errors={'RuntimeError': 23, 'forward_error': 16, 's1_fail': 11, 'rapid_screening_error': 2}",research/synthesis/compiler.py / compiler_ops_math.py / compiler_ops_attention.py,python -m research.tools.audit_low_s1_components --focus fused_linear_gelu,False,False,False,False
